,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,lebu,91,CL,1587235501,68,-37.62,-73.65,64.29,6.55
1,mataura,100,NZ,1587235369,93,-46.19,168.86,42.01,5.01
2,bara,65,NG,1587235303,9,10.37,10.73,92.21,2.04
3,punta arenas,20,PH,1587235499,77,8.99,125.34,77.34,5.01
4,nara,99,JP,1587235597,55,34.69,135.8,55.99,1.99
5,hobart,40,AU,1587235206,87,-42.88,147.33,45.0,1.12
6,broome,90,US,1587235524,69,42.25,-75.83,43.0,12.75
7,norman wells,1,US,1587235316,33,35.22,-97.44,62.01,11.41
8,saint-philippe,20,RE,1587235520,78,-21.36,55.77,77.0,10.29
9,albany,98,US,1587235495,69,42.6,-73.97,43.0,4.0
10,collie,100,AU,1587235767,67,-33.37,116.15,62.01,10.09
11,hilo,1,US,1587235219,64,19.73,-155.09,75.2,5.66
12,jamestown,75,US,1587235498,55,42.1,-79.24,43.0,12.75
13,bethel,90,US,1587235512,80,41.37,-73.41,41.0,9.17
14,lugoba,100,TZ,1587235767,90,-6.45,38.33,73.08,3.67
15,villa carlos paz,60,IT,1587235767,48,46.2,10.13,57.38,2.44
16,cascavel,88,BR,1587235767,42,-24.96,-53.46,73.18,4.5
17,cagayan de tawi-tawi,65,PH,1587235767,79,6.97,118.51,84.11,7.7
18,talara,19,PE,1587235543,48,-4.58,-81.27,87.8,11.41
19,busselton,100,AU,1587235384,67,-33.65,115.33,62.01,22.86
20,atuona,63,PF,1587235500,79,-9.8,-139.03,82.26,14.2
21,mangochi,35,MW,1587235768,73,-14.48,35.26,70.54,6.35
22,dubovskoye,100,RU,1587235768,55,47.41,42.76,52.0,6.42
23,tuktoyaktuk,40,CA,1587235496,77,69.45,-133.04,6.8,6.93
24,upata,19,VE,1587235768,22,8.01,-62.4,99.48,4.5
25,hermanus,6,ZA,1587235319,54,-34.42,19.23,67.57,2.06
26,tiksi,92,RU,1587235493,87,71.69,128.87,5.04,4.7
27,rikitea,1,PF,1587235498,70,-23.12,-134.97,76.78,4.68
28,mys shmidta,100,RU,1587235508,94,62.06,48.62,35.1,1.41
29,faanui,60,PF,1587235271,70,-16.48,-151.75,82.76,8.72
30,caravelas,98,BR,1587235769,78,-17.71,-39.25,77.49,21.54
31,kapaa,20,US,1587235493,73,22.08,-159.32,77.0,12.75
32,carnarvon,75,AU,1587235506,88,-24.87,113.63,75.2,14.99
33,kirakira,100,SB,1587235769,86,-10.45,161.92,77.43,0.74
34,chokurdakh,56,RU,1587235344,86,70.63,147.92,-12.08,7.52
35,port elizabeth,99,CD,1587235510,58,-7.03,29.76,74.89,3.44
36,souillac,40,MU,1587235551,74,-20.52,57.52,79.0,16.11
37,provideniya,100,RU,1587235279,95,64.38,-173.3,21.16,16.24
38,batagay-alyta,0,RU,1587235770,67,67.8,130.41,-7.1,4.45
