,City,Country,Lat,Lng,Hotel Name
0,lebu,CL,-37.62,-73.65,
1,mataura,NZ,-46.19,168.86,
2,bara,NG,10.37,10.73,
3,punta arenas,PH,8.99,125.34,
4,nara,JP,34.69,135.8,
5,hobart,AU,-42.88,147.33,
6,broome,US,42.25,-75.83,
7,norman wells,US,35.22,-97.44,
8,saint-philippe,RE,-21.36,55.77,
9,albany,US,42.6,-73.97,
10,collie,AU,-33.37,116.15,
11,hilo,US,19.73,-155.09,
12,jamestown,US,42.1,-79.24,
13,bethel,US,41.37,-73.41,
14,lugoba,TZ,-6.45,38.33,
15,villa carlos paz,IT,46.2,10.13,
16,cascavel,BR,-24.96,-53.46,
17,cagayan de tawi-tawi,PH,6.97,118.51,
18,talara,PE,-4.58,-81.27,
19,busselton,AU,-33.65,115.33,
20,atuona,PF,-9.8,-139.03,
21,mangochi,MW,-14.48,35.26,
22,dubovskoye,RU,47.41,42.76,
23,tuktoyaktuk,CA,69.45,-133.04,
24,upata,VE,8.01,-62.4,
25,hermanus,ZA,-34.42,19.23,
26,tiksi,RU,71.69,128.87,
27,rikitea,PF,-23.12,-134.97,
28,mys shmidta,RU,62.06,48.62,
29,faanui,PF,-16.48,-151.75,
30,caravelas,BR,-17.71,-39.25,
31,kapaa,US,22.08,-159.32,
32,carnarvon,AU,-24.87,113.63,
33,kirakira,SB,-10.45,161.92,
34,chokurdakh,RU,70.63,147.92,
35,port elizabeth,CD,-7.03,29.76,
36,souillac,MU,-20.52,57.52,
37,provideniya,RU,64.38,-173.3,
38,batagay-alyta,RU,67.8,130.41,
39,dosso,NE,13.05,3.19,
40,alice,US,27.75,-98.07,
41,bad windsheim,DE,47.63,9.83,
42,sulangan,PH,11.14,123.72,
43,riyadh,SA,24.69,46.72,
44,katsuura,JP,35.13,140.3,
45,scarborough,GB,54.28,-0.4,
46,atar,MR,20.52,-13.05,
47,nhulunbuy,AU,-12.23,136.77,
48,upernavik,GL,72.79,-56.15,
49,cape town,CL,-36.41,-71.9,
50,evensk,RU,61.95,159.23,
51,jamiltepec,MX,16.28,-97.82,
52,tagusao,PH,9.19,117.81,
53,saint-augustin,CA,51.23,-58.65,
54,port macquarie,CD,-7.03,29.76,
55,lavrentiya,RU,65.58,-171.0,
56,port alfred,CD,-7.03,29.76,
57,cabedelo,BR,-6.98,-34.83,
58,yellowknife,CA,62.46,-114.35,
59,micheweni,TZ,-4.97,39.83,
60,vestmannaeyjar,IS,63.44,-20.27,
61,mehamn,NO,71.04,27.85,
62,raga,SS,8.46,25.68,
63,butaritari,KI,3.07,172.79,
64,puerto ayora,ES,36.59,-6.23,
65,kaeo,NZ,-35.1,173.78,
66,bluff,NZ,-46.6,168.33,
67,coari,BR,-4.08,-63.14,
68,severo-kurilsk,RU,50.68,156.12,
69,ibirama,BR,-27.06,-49.52,
70,borogontsy,RU,62.67,131.17,
71,suntar,RU,62.14,117.63,
72,ushuaia,AR,-54.8,-68.3,
73,asau,RO,46.43,26.4,
74,kabompo,ZM,-13.59,24.2,
75,mayfield,US,36.74,-88.64,
76,roma,US,43.21,-75.46,
77,alofi,NU,-19.06,-169.92,
78,greytown,ZA,-29.06,30.59,
79,chabahar,IR,25.29,60.64,
80,bredasdorp,ZA,-34.53,20.04,
81,talnakh,RU,69.49,88.4,
82,belmonte,BR,-15.86,-38.88,
83,east london,IS,65.0,-15.0,
84,mahanoro,MG,-19.9,48.8,
85,katunino,RU,64.39,40.63,
86,xining,CN,36.62,101.77,
87,mangla,PK,31.89,72.38,
88,mtwara,TZ,-10.27,40.18,
89,lorengau,PG,-2.02,147.27,
90,puri,IN,19.8,85.85,
91,praia,CV,14.92,-23.51,
92,nioro,GM,13.35,-15.75,
93,kahului,US,20.89,-156.47,
94,stornoway,GB,58.21,-6.39,
95,alta floresta,NO,69.97,23.27,
96,pisco,PE,-13.7,-76.22,
97,sumbe,AO,-11.21,13.84,
98,karema,TZ,-6.82,30.44,
99,new norfolk,LR,6.65,-10.59,
100,cabo san lucas,BR,-8.28,-35.03,
101,castro,BR,-24.79,-50.01,
102,saldanha,ZA,-33.01,17.94,
103,san patricio,ML,13.3,-4.9,
104,taoudenni,ML,22.68,-3.98,
105,qaanaaq,GL,77.48,-69.36,
106,mar del plata,ES,43.4,-4.01,
107,dikson,RU,73.51,80.55,
108,itaituba,BR,-4.28,-55.98,
109,avarua,CK,-21.21,-159.78,
110,hambantota,LK,6.12,81.12,
111,tessalit,ML,20.2,1.01,
112,rafaela,AR,-31.25,-61.49,
113,torbay,CA,47.67,-52.73,
114,vangaindrano,MG,-23.35,47.6,
115,nueva italia,EC,-1.72,-79.83,
116,valparaiso,CL,-33.04,-71.63,
117,bengkulu,ID,-3.8,102.27,
118,nouadhibou,MR,20.93,-17.03,
119,ponta delgada,PT,38.73,-28.27,
